0_date,boston,formaldate
2019-01-01,0.5895535719734323,2019-01-01
2019-01-02,0.6648736326861837,2019-01-02
2019-01-03,0.6848295914058521,2019-01-03
2019-01-04,0.6954187486839554,2019-01-04
2019-01-05,0.6226663948657165,2019-01-05
2019-01-06,0.5913351875820817,2019-01-06
2019-01-07,0.6379933738663772,2019-01-07
2019-01-08,0.6605500425317553,2019-01-08
2019-01-09,0.6814278826793098,2019-01-09
2019-01-10,0.6911702664061492,2019-01-10
2019-01-11,0.6996548678105767,2019-01-11
2019-01-12,0.6318094463070963,2019-01-12
2019-01-13,0.5864077297933447,2019-01-13
2019-01-14,0.6735171343218899,2019-01-14
2019-01-15,0.6786018243388448,2019-01-15
2019-01-16,0.6825149830092815,2019-01-16
2019-01-17,0.6876934194082039,2019-01-17
2019-01-18,0.6804535584527773,2019-01-18
2019-01-19,0.6285198394837055,2019-01-19
2019-01-20,0.4674094166865229,2019-01-20
2019-01-21,0.5728975934596107,2019-01-21
2019-01-22,0.6614230963903476,2019-01-22
2019-01-23,0.6763694720554531,2019-01-23
2019-01-24,0.6795485163187819,2019-01-24
2019-01-25,0.6992633104004351,2019-01-25
2019-01-26,0.6477890424718072,2019-01-26
2019-01-27,0.6268699531469512,2019-01-27
2019-01-28,0.6819493688928903,2019-01-28
2019-01-29,0.6830258156255982,2019-01-29
2019-01-30,0.6778656217579664,2019-01-30
2019-01-31,0.6977115286919225,2019-01-31
2019-02-01,0.68851835882301,2019-02-01
2019-02-02,0.6430055062306603,2019-02-02
2019-02-03,0.6117529609743838,2019-02-03
2019-02-04,0.6763643459075092,2019-02-04
2019-02-05,0.6949988745038148,2019-02-05
2019-02-06,0.6933506343418979,2019-02-06
2019-02-07,0.6926382327986151,2019-02-07
2019-02-08,0.7001812964358535,2019-02-08
2019-02-09,0.6506874309470175,2019-02-09
2019-02-10,0.6195656971178645,2019-02-10
2019-02-11,0.6803529991794476,2019-02-11
2019-02-12,0.6545914658281811,2019-02-12
2019-02-13,0.6729219844351569,2019-02-13
2019-02-14,0.7108462781164057,2019-02-14
2019-02-15,0.7041963859880307,2019-02-15
2019-02-16,0.6512263526760278,2019-02-16
2019-02-17,0.6291107369363891,2019-02-17
2019-02-18,0.5946915663786309,2019-02-18
2019-02-19,0.6788751063774634,2019-02-19
2019-02-20,0.6872788218716129,2019-02-20
2019-02-21,0.6826438444105396,2019-02-21
2019-02-22,0.6832016712180212,2019-02-22
2019-02-23,0.6743743077305571,2019-02-23
2019-02-24,0.590163734093522,2019-02-24
2019-02-25,0.6979591993103086,2019-02-25
2019-02-26,0.6929122963231705,2019-02-26
2019-02-27,0.6976816353219388,2019-02-27
2019-02-28,0.6932014417697672,2019-02-28
2019-03-01,0.7139771385859279,2019-03-01
2019-03-02,0.5935915315776517,2019-03-02
2019-03-03,0.603509114790354,2019-03-03
2019-03-04,0.5638039406127962,2019-03-04
2019-03-05,0.7020222471694286,2019-03-05
2019-03-06,0.7085646675702719,2019-03-06
2019-03-07,0.6943493869812326,2019-03-07
2019-03-08,0.7093885216834606,2019-03-08
2019-03-09,0.671098580785515,2019-03-09
2019-03-10,0.5710269356756418,2019-03-10
2019-03-11,0.699606993192423,2019-03-11
2019-03-12,0.6917951175501569,2019-03-12
2019-03-13,0.6951498318839879,2019-03-13
2019-03-14,0.7121589806956662,2019-03-14
2019-03-15,0.7151953842408325,2019-03-15
2019-03-16,0.6814568525749684,2019-03-16
2019-03-17,0.6343749429466773,2019-03-17
2019-03-18,0.6973540841834744,2019-03-18
2019-03-19,0.7149421736052451,2019-03-19
2019-03-20,0.728504776457223,2019-03-20
2019-03-21,0.7257574488336168,2019-03-21
2019-03-22,0.7165223778311117,2019-03-22
2019-03-23,0.6677319108826744,2019-03-23
2019-03-24,0.6466218171690377,2019-03-24
2019-03-25,0.7215615826806074,2019-03-25
2019-03-26,0.7145200060465723,2019-03-26
2019-03-27,0.7402511837440044,2019-03-27
2019-03-28,0.7327528590776257,2019-03-28
2019-03-29,0.7240475141409527,2019-03-29
