0_date,chicago,formaldate
2019-01-01,0.5902688232109302,2019-01-01
2019-01-02,0.6177727179095258,2019-01-02
2019-01-03,0.6408334636572276,2019-01-03
2019-01-04,0.6700503417100452,2019-01-04
2019-01-05,0.6233740293709867,2019-01-05
2019-01-06,0.5887271736197908,2019-01-06
2019-01-07,0.6244261511692325,2019-01-07
2019-01-08,0.650425864723888,2019-01-08
2019-01-09,0.6602316062293616,2019-01-09
2019-01-10,0.6661983401741951,2019-01-10
2019-01-11,0.6684132898588871,2019-01-11
2019-01-12,0.5828585940867634,2019-01-12
2019-01-13,0.5779453903346403,2019-01-13
2019-01-14,0.6581041589577641,2019-01-14
2019-01-15,0.6567620262764156,2019-01-15
2019-01-16,0.6587703501082425,2019-01-16
2019-01-17,0.6658302863077985,2019-01-17
2019-01-18,0.6512213784590856,2019-01-18
2019-01-19,0.5450630584819144,2019-01-19
2019-01-20,0.5670772584746298,2019-01-20
2019-01-21,0.6016893499933456,2019-01-21
2019-01-22,0.6377957317108341,2019-01-22
2019-01-23,0.6388005329167049,2019-01-23
2019-01-24,0.6637860096089733,2019-01-24
2019-01-25,0.6348495832284372,2019-01-25
2019-01-26,0.585219972530411,2019-01-26
2019-01-27,0.5679908916804929,2019-01-27
2019-01-28,0.5830709704061914,2019-01-28
2019-01-29,0.6205997471827178,2019-01-29
2019-01-30,0.4181554799263058,2019-01-30
2019-01-31,0.5394467955403467,2019-01-31
2019-02-01,0.6466897756456849,2019-02-01
2019-02-02,0.6216208725066811,2019-02-02
2019-02-03,0.5968367462557727,2019-02-03
2019-02-04,0.6524546877967631,2019-02-04
2019-02-05,0.6602370395766648,2019-02-05
2019-02-06,0.6626776348921408,2019-02-06
2019-02-07,0.6674359491770023,2019-02-07
2019-02-08,0.6691827208340629,2019-02-08
2019-02-09,0.6428077800328577,2019-02-09
2019-02-10,0.5828558725999057,2019-02-10
2019-02-11,0.6550292942875809,2019-02-11
2019-02-12,0.6450152832839681,2019-02-12
2019-02-13,0.6697904415361923,2019-02-13
2019-02-14,0.6981921866219004,2019-02-14
2019-02-15,0.683714955362357,2019-02-15
2019-02-16,0.6342154606255526,2019-02-16
2019-02-17,0.5670837856271118,2019-02-17
2019-02-18,0.6093970572144833,2019-02-18
2019-02-19,0.6747073868555513,2019-02-19
2019-02-20,0.6599227608364979,2019-02-20
2019-02-21,0.6911689725190954,2019-02-21
2019-02-22,0.695476854144472,2019-02-22
2019-02-23,0.6412721772144497,2019-02-23
2019-02-24,0.5899967372006598,2019-02-24
2019-02-25,0.6788255045042547,2019-02-25
2019-02-26,0.6818562009067142,2019-02-26
2019-02-27,0.6884614918579617,2019-02-27
2019-02-28,0.7035669157557324,2019-02-28
2019-03-01,0.6896708518677714,2019-03-01
2019-03-02,0.6497309026735277,2019-03-02
2019-03-03,0.6023920473461156,2019-03-03
2019-03-04,0.6636171872337167,2019-03-04
2019-03-05,0.6773897281316678,2019-03-05
2019-03-06,0.6793884636653119,2019-03-06
2019-03-07,0.6795484365236133,2019-03-07
2019-03-08,0.6807358787473786,2019-03-08
2019-03-09,0.6436490994262559,2019-03-09
2019-03-10,0.6090008280987544,2019-03-10
2019-03-11,0.6804256200770442,2019-03-11
2019-03-12,0.677558619754169,2019-03-12
2019-03-13,0.669038419940467,2019-03-13
2019-03-14,0.6828732005383814,2019-03-14
2019-03-15,0.6930370635018536,2019-03-15
2019-03-16,0.667550899702612,2019-03-16
2019-03-17,0.6234823528002915,2019-03-17
2019-03-18,0.6811820842245455,2019-03-18
2019-03-19,0.701946364889397,2019-03-19
2019-03-20,0.6911939823239697,2019-03-20
2019-03-21,0.7078253897736416,2019-03-21
2019-03-22,0.7207890964940891,2019-03-22
2019-03-23,0.6798127014506581,2019-03-23
2019-03-24,0.6338363038378704,2019-03-24
2019-03-25,0.6938068732427226,2019-03-25
2019-03-26,0.7072911152718765,2019-03-26
2019-03-27,0.7114848531474403,2019-03-27
2019-03-28,0.7152132643997356,2019-03-28
2019-03-29,0.7040465213642343,2019-03-29
2019-03-30,0.6832447513010663,2019-03-30
2019-03-31,0.6486213225685148,2019-03-31
2019-04-01,0.6991889573727188,2019-04-01
2019-04-02,0.702258302508765,2019-04-02
2019-04-03,0.6793341943091858,2019-04-03
2019-04-04,0.6860846588117697,2019-04-04
2019-04-05,0.6982109563578172,2019-04-05
2019-04-06,0.6672046622450162,2019-04-06
2019-04-07,0.6143913785355073,2019-04-07
2019-04-08,0.6918531371222854,2019-04-08
2019-04-09,0.6844307432125675,2019-04-09
2019-04-10,0.6726858016509171,2019-04-10
2019-04-11,0.6826835988416758,2019-04-11
2019-04-12,0.7071576373845003,2019-04-12
2019-04-13,0.6570967712409214,2019-04-13
2019-04-14,0.5685552676455856,2019-04-14
2019-04-15,0.6811163220529425,2019-04-15
2019-04-16,0.7001965009573148,2019-04-16
2019-04-17,0.6875984848083309,2019-04-17
2019-04-18,0.6808645009709776,2019-04-18
2019-04-19,0.7105554131149014,2019-04-19
2019-04-20,0.6803734087496907,2019-04-20
2019-04-21,0.6568705851418536,2019-04-21
2019-04-22,0.692838562168913,2019-04-22
2019-04-23,0.7235029790326497,2019-04-23
2019-04-24,0.7232810902524753,2019-04-24
2019-04-25,0.7286438837740475,2019-04-25
2019-04-26,0.7323299234822924,2019-04-26
2019-04-27,0.6702535330065051,2019-04-27
2019-04-28,0.6772298240573307,2019-04-28
2019-04-29,0.7033526480836306,2019-04-29
2019-04-30,0.7091621736070194,2019-04-30
2019-05-01,0.7174694445760981,2019-05-01
2019-05-02,0.7184578182469484,2019-05-02
2019-05-03,0.728805320283167,2019-05-03
2019-05-04,0.6981127237558146,2019-05-04
2019-05-05,0.6588151278084158,2019-05-05
2019-05-06,0.7054515892041602,2019-05-06
