0_date,dallas,formaldate
2019-01-01,0.5709161275459077,2019-01-01
2019-01-02,0.5841143402677202,2019-01-02
2019-01-03,0.6175650462639868,2019-01-03
2019-01-04,0.6688280892351091,2019-01-04
2019-01-05,0.6341581375888208,2019-01-05
2019-01-06,0.6113311380901321,2019-01-06
2019-01-07,0.6381328753977238,2019-01-07
2019-01-08,0.6731820763975491,2019-01-08
2019-01-09,0.6838098779534431,2019-01-09
2019-01-10,0.6895902258201968,2019-01-10
2019-01-11,0.6776901226118139,2019-01-11
2019-01-12,0.6258605006020709,2019-01-12
2019-01-13,0.5929206020905695,2019-01-13
2019-01-14,0.6817827008711089,2019-01-14
2019-01-15,0.6807753168838765,2019-01-15
2019-01-16,0.6889876316372976,2019-01-16
2019-01-17,0.6872894162155694,2019-01-17
2019-01-18,0.6838740991642006,2019-01-18
2019-01-19,0.610045929215148,2019-01-19
2019-01-20,0.5968974615750012,2019-01-20
2019-01-21,0.6319134452931268,2019-01-21
2019-01-22,0.6790045692395006,2019-01-22
2019-01-23,0.6844389320479339,2019-01-23
2019-01-24,0.6985296205181599,2019-01-24
2019-01-25,0.6965298327241386,2019-01-25
2019-01-26,0.6476331456145509,2019-01-26
2019-01-27,0.6210353401787954,2019-01-27
2019-01-28,0.6886266236424367,2019-01-28
2019-01-29,0.6933944272205776,2019-01-29
2019-01-30,0.693462846721974,2019-01-30
2019-01-31,0.7192333689918873,2019-01-31
2019-02-01,0.6967777198616038,2019-02-01
2019-02-02,0.6490299129768211,2019-02-02
2019-02-03,0.6190945717933186,2019-02-03
2019-02-04,0.6855336879186772,2019-02-04
2019-02-05,0.6962844179329936,2019-02-05
2019-02-06,0.691340912004879,2019-02-06
2019-02-07,0.6766220847310349,2019-02-07
2019-02-08,0.6962406044982623,2019-02-08
2019-02-09,0.6332249330923766,2019-02-09
2019-02-10,0.5912197992934105,2019-02-10
2019-02-11,0.6694999382942732,2019-02-11
2019-02-12,0.6991594750977265,2019-02-12
2019-02-13,0.6924370385838416,2019-02-13
2019-02-14,0.7085622932781234,2019-02-14
2019-02-15,0.696553920813095,2019-02-15
2019-02-16,0.6464504917435775,2019-02-16
2019-02-17,0.6134895609849437,2019-02-17
2019-02-18,0.6433279379299114,2019-02-18
2019-02-19,0.6773789335738369,2019-02-19
2019-02-20,0.7069710001185279,2019-02-20
2019-02-21,0.7020008395485589,2019-02-21
2019-02-22,0.7075016504557708,2019-02-22
2019-02-23,0.6710604297812793,2019-02-23
2019-02-24,0.6400744657934706,2019-02-24
2019-02-25,0.7080767214794815,2019-02-25
2019-02-26,0.7113978032125107,2019-02-26
2019-02-27,0.7126180765743609,2019-02-27
2019-02-28,0.7159675475615543,2019-02-28
2019-03-01,0.7074838113775596,2019-03-01
2019-03-02,0.6567344782854648,2019-03-02
2019-03-03,0.596822125960253,2019-03-03
2019-03-04,0.6753953978617159,2019-03-04
2019-03-05,0.7016231913824436,2019-03-05
2019-03-06,0.7067842670230869,2019-03-06
2019-03-07,0.711949780620479,2019-03-07
2019-03-08,0.7168168523478021,2019-03-08
2019-03-09,0.6709159803366955,2019-03-09
2019-03-10,0.6334591119544363,2019-03-10
2019-03-11,0.6756504149441963,2019-03-11
2019-03-12,0.6659095965515979,2019-03-12
2019-03-13,0.6747539913733527,2019-03-13
2019-03-14,0.7025870222364724,2019-03-14
2019-03-15,0.7128125081441742,2019-03-15
2019-03-16,0.6927201282580365,2019-03-16
2019-03-17,0.6559991543304046,2019-03-17
2019-03-18,0.7116614588590816,2019-03-18
2019-03-19,0.7236822574935449,2019-03-19
2019-03-20,0.7306505940859276,2019-03-20
2019-03-21,0.7362752295593199,2019-03-21
2019-03-22,0.7381037518838593,2019-03-22
2019-03-23,0.6761900667647177,2019-03-23
2019-03-24,0.6506021448102757,2019-03-24
2019-03-25,0.7164338027444471,2019-03-25
2019-03-26,0.7357667082487918,2019-03-26
2019-03-27,0.7435083156687975,2019-03-27
2019-03-28,0.7445326301675765,2019-03-28
2019-03-29,0.7455095577152221,2019-03-29
2019-03-30,0.6919554477462524,2019-03-30
2019-03-31,0.6672299002957268,2019-03-31
2019-04-01,0.7226487309992878,2019-04-01
2019-04-02,0.7294277979710091,2019-04-02
2019-04-03,0.7120540092931709,2019-04-03
2019-04-04,0.7232300300709447,2019-04-04
2019-04-05,0.7287991732122159,2019-04-05
2019-04-06,0.6501754668060636,2019-04-06
2019-04-07,0.6384504347460801,2019-04-07
2019-04-08,0.7159773519704683,2019-04-08
2019-04-09,0.7308185414896337,2019-04-09
2019-04-10,0.7228818252367734,2019-04-10
2019-04-11,0.7210396205654565,2019-04-11
2019-04-12,0.7344597279720049,2019-04-12
2019-04-13,0.6274904600372143,2019-04-13
2019-04-14,0.6522090539417075,2019-04-14
2019-04-15,0.7238912211596878,2019-04-15
2019-04-16,0.7293796753810388,2019-04-16
2019-04-17,0.6844070598186008,2019-04-17
2019-04-18,0.7031473824274332,2019-04-18
2019-04-19,0.7282996514475236,2019-04-19
2019-04-20,0.7137321239628907,2019-04-20
2019-04-21,0.6816797999442945,2019-04-21
2019-04-22,0.7140527324535709,2019-04-22
