0_date,losangeles,formaldate
2019-01-01,0.5803019611023563,2019-01-01
2019-01-02,0.6111419957141778,2019-01-02
2019-01-03,0.6343409630427247,2019-01-03
2019-01-04,0.6537028063173023,2019-01-04
2019-01-05,0.5942716073049222,2019-01-05
2019-01-06,0.5750538109561577,2019-01-06
2019-01-07,0.6415250472001214,2019-01-07
2019-01-08,0.6466153625400684,2019-01-08
2019-01-09,0.6582210652228043,2019-01-09
2019-01-10,0.6605998222892585,2019-01-10
2019-01-11,0.6491285673468741,2019-01-11
2019-01-12,0.5902004508326726,2019-01-12
2019-01-13,0.5751821690839248,2019-01-13
2019-01-14,0.6348482895040782,2019-01-14
2019-01-15,0.6320918633085719,2019-01-15
2019-01-16,0.6351398765527487,2019-01-16
2019-01-17,0.6227307767949152,2019-01-17
2019-01-18,0.6510486878869877,2019-01-18
2019-01-19,0.6242249949125871,2019-01-19
2019-01-20,0.5939252302383341,2019-01-20
2019-01-21,0.6068297272889389,2019-01-21
2019-01-22,0.6591894879097703,2019-01-22
2019-01-23,0.6594726307778245,2019-01-23
2019-01-24,0.6731443410048001,2019-01-24
2019-01-25,0.6770113879377879,2019-01-25
2019-01-26,0.6380799789900425,2019-01-26
2019-01-27,0.6110017602340998,2019-01-27
2019-01-28,0.6628917510626813,2019-01-28
2019-01-29,0.6717563127462679,2019-01-29
2019-01-30,0.6756523405078471,2019-01-30
2019-01-31,0.6693743713147828,2019-01-31
2019-02-01,0.6693894523758318,2019-02-01
2019-02-02,0.5843336613714432,2019-02-02
2019-02-03,0.5656359220693552,2019-02-03
2019-02-04,0.635289818803711,2019-02-04
2019-02-05,0.6479027677662597,2019-02-05
2019-02-06,0.6726295138117377,2019-02-06
2019-02-07,0.6646391762217261,2019-02-07
2019-02-08,0.6706864047871645,2019-02-08
2019-02-09,0.6254823141080312,2019-02-09
2019-02-10,0.5813856636367318,2019-02-10
2019-02-11,0.6393641381707736,2019-02-11
2019-02-12,0.6654380023708479,2019-02-12
2019-02-13,0.6496515239507897,2019-02-13
2019-02-14,0.6511213940281096,2019-02-14
2019-02-15,0.6505584311351581,2019-02-15
2019-02-16,0.6215404333497717,2019-02-16
2019-02-17,0.5853252506429429,2019-02-17
2019-02-18,0.6116956998031513,2019-02-18
2019-02-19,0.6555199531825925,2019-02-19
2019-02-20,0.6614675736536801,2019-02-20
2019-02-21,0.6691294798030861,2019-02-21
