0_date,miami,formaldate
2019-01-01,0.643843155986075,2019-01-01
2019-01-02,0.6623397662158744,2019-01-02
2019-01-03,0.6750451199341979,2019-01-03
2019-01-04,0.6957426233779987,2019-01-04
2019-01-05,0.6489317677074194,2019-01-05
2019-01-06,0.6147038805018237,2019-01-06
2019-01-07,0.6606143502176148,2019-01-07
2019-01-08,0.6870206304350132,2019-01-08
2019-01-09,0.7016796562891503,2019-01-09
2019-01-10,0.7018570612730741,2019-01-10
2019-01-11,0.7100262874216849,2019-01-11
2019-01-12,0.6553009226912113,2019-01-12
2019-01-13,0.6267174489300036,2019-01-13
2019-01-14,0.6978925153008937,2019-01-14
2019-01-15,0.6990305573952005,2019-01-15
2019-01-16,0.6970446295349964,2019-01-16
2019-01-17,0.7014501101883914,2019-01-17
2019-01-18,0.6968980087569268,2019-01-18
2019-01-19,0.6617053303091707,2019-01-19
2019-01-20,0.6052811334494186,2019-01-20
2019-01-21,0.6425035483097654,2019-01-21
2019-01-22,0.6962988248972839,2019-01-22
2019-01-23,0.7016198061319828,2019-01-23
2019-01-24,0.6930227939419019,2019-01-24
2019-01-25,0.7070469638176028,2019-01-25
2019-01-26,0.6254157121461132,2019-01-26
2019-01-27,0.6013391595710353,2019-01-27
2019-01-28,0.6904586953566857,2019-01-28
2019-01-29,0.7028688455955444,2019-01-29
2019-01-30,0.7023002828506618,2019-01-30
2019-01-31,0.7134465835800479,2019-01-31
2019-02-01,0.6915520831631056,2019-02-01
2019-02-02,0.6637234587449385,2019-02-02
2019-02-03,0.6381754921464321,2019-02-03
2019-02-04,0.6980913492089527,2019-02-04
2019-02-05,0.7085354610020613,2019-02-05
2019-02-06,0.7151402197508453,2019-02-06
2019-02-07,0.7147766730300699,2019-02-07
2019-02-08,0.7108074003839573,2019-02-08
2019-02-09,0.6675819899513262,2019-02-09
2019-02-10,0.6254259294476633,2019-02-10
2019-02-11,0.6968137907139329,2019-02-11
2019-02-12,0.7093651712463429,2019-02-12
2019-02-13,0.687325837529947,2019-02-13
2019-02-14,0.7174427531887787,2019-02-14
2019-02-15,0.715968710501198,2019-02-15
2019-02-16,0.6779750399418959,2019-02-16
2019-02-17,0.6345446453017828,2019-02-17
2019-02-18,0.6615430343828909,2019-02-18
2019-02-19,0.7147860711166099,2019-02-19
2019-02-20,0.7243031964479969,2019-02-20
2019-02-21,0.7255529198297739,2019-02-21
2019-02-22,0.7293083042732601,2019-02-22
2019-02-23,0.68808508709388,2019-02-23
2019-02-24,0.6390153717519361,2019-02-24
2019-02-25,0.7128102917103566,2019-02-25
2019-02-26,0.7204510661463417,2019-02-26
2019-02-27,0.7232332555251371,2019-02-27
2019-02-28,0.7418038944729399,2019-02-28
2019-03-01,0.7315530381122424,2019-03-01
2019-03-02,0.6888233873684165,2019-03-02
2019-03-03,0.6527099395124932,2019-03-03
2019-03-04,0.7208788515862598,2019-03-04
2019-03-05,0.7188249108285282,2019-03-05
2019-03-06,0.7205125899396805,2019-03-06
2019-03-07,0.7223162710444176,2019-03-07
2019-03-08,0.7289882194784313,2019-03-08
2019-03-09,0.6921969311467577,2019-03-09
2019-03-10,0.6561868743322081,2019-03-10
