0_date,seattle,formaldate
2019-01-01,0.5811743545270294,2019-01-01
2019-01-02,0.6413681992983431,2019-01-02
2019-01-03,0.6473324849703289,2019-01-03
2019-01-04,0.6690622443350168,2019-01-04
2019-01-05,0.6019874260129202,2019-01-05
2019-01-06,0.5817345436152827,2019-01-06
2019-01-07,0.6467407214771101,2019-01-07
2019-01-08,0.6532831869893525,2019-01-08
2019-01-09,0.6529577121862641,2019-01-09
2019-01-10,0.6636278389978844,2019-01-10
2019-01-11,0.6696978113280425,2019-01-11
2019-01-12,0.6183864486832292,2019-01-12
2019-01-13,0.5928398501609367,2019-01-13
2019-01-14,0.6614522567436448,2019-01-14
2019-01-15,0.6593867510291472,2019-01-15
2019-01-16,0.6697001482765856,2019-01-16
2019-01-17,0.6618358291146066,2019-01-17
2019-01-18,0.6592287429567663,2019-01-18
2019-01-19,0.6168251941577207,2019-01-19
2019-01-20,0.5877075618469411,2019-01-20
2019-01-21,0.599891429579362,2019-01-21
2019-01-22,0.6582330897185069,2019-01-22
2019-01-23,0.6622574251425074,2019-01-23
2019-01-24,0.6707188606577731,2019-01-24
2019-01-25,0.6657107628988992,2019-01-25
2019-01-26,0.6266181004704506,2019-01-26
2019-01-27,0.5959800520296125,2019-01-27
2019-01-28,0.6533576727856829,2019-01-28
2019-01-29,0.6803603988669167,2019-01-29
2019-01-30,0.674167244998175,2019-01-30
2019-01-31,0.6953895437908778,2019-01-31
2019-02-01,0.6679479394927875,2019-02-01
2019-02-02,0.6192845056520264,2019-02-02
2019-02-03,0.5494427330298053,2019-02-03
2019-02-04,0.4657176597920834,2019-02-04
2019-02-05,0.5695013478538155,2019-02-05
2019-02-06,0.6441970277020782,2019-02-06
2019-02-07,0.6553068066039945,2019-02-07
2019-02-08,0.617924611637945,2019-02-08
2019-02-09,0.4509732955454745,2019-02-09
2019-02-10,0.472464823206494,2019-02-10
2019-02-11,0.4547330388032718,2019-02-11
2019-02-12,0.5019658328838054,2019-02-12
